kyber_top100Rev2_distMD1.txt
Time	B0	B1	B2	B3
0.96141	 34	 73	0	0
0.96250	 34	 74	0	0
0.96275	 33	 74	0	0
0.96280	 33	 75	0	0
0.96336	 33	 76	0	0
0.96385	 33	 77	0	0
0.96399	 33	 78	0	0
0.96426	 33	 79	0	0
0.96530	 32	 79	0	0
0.96574	 32	 80	0	0
0.96607	 31	 80	0	0
0.96685	 31	 81	0	0
0.96876	 31	 82	0	0
0.96886	 31	 81	0	0
0.96940	 30	 81	0	0
0.97035	 30	 80	0	0
0.97049	 29	 80	0	0
0.97173	 29	 81	0	0
0.97196	 29	 82	0	0
0.97206	 28	 82	0	0
0.97231	 28	 83	0	0
0.97275	 27	 83	0	0
0.97290	 27	 84	0	0
0.97299	 27	 85	0	0
0.97301	 26	 85	0	0
0.97373	 26	 86	0	0
0.97411	 25	 86	0	0
0.97439	 25	 87	0	0
0.97490	 25	 88	0	0
0.97564	 24	 88	0	0
0.97679	 23	 88	0	0
0.97688	 22	 88	0	0
0.97711	 22	 89	0	0
0.97715	 21	 89	0	0
0.97774	 21	 90	0	0
0.97809	 21	 91	0	0
0.97810	 21	 92	0	0
0.97825	 21	 93	0	0
0.97934	 21	 94	0	0
0.97935	 20	 94	0	0
0.98004	 20	 95	0	0
0.98080	 20	 96	0	0
0.98100	 20	 97	0	0
0.98110	 20	 98	0	0
0.98150	 19	 98	0	0
0.98165	 19	 99	0	0
0.98214	 18	 99	0	0
0.98230	 18	100	0	0
0.98315	 18	101	0	0
0.98320	 18	102	0	0
0.98321	 18	103	0	0
0.98418	 18	104	0	0
0.98420	 18	105	0	0
0.98458	 17	105	0	0
0.98502	 17	106	0	0
0.98511	 17	107	0	0
0.98540	 16	107	0	0
0.98555	 16	108	0	0
0.98653	 16	109	0	0
0.98683	 15	109	0	0
0.98691	 15	110	0	0
0.98710	 14	110	0	0
0.98723	 13	110	0	0
0.98732	 13	111	0	0
0.98835	 13	112	0	0
0.99000	 12	112	0	0
0.99030	 12	113	0	0
0.99046	 12	114	0	0
0.99075	 11	114	0	0
0.99076	 11	115	0	0
0.99200	 11	116	0	0
0.99268	 10	116	0	0
0.99300	 10	117	0	0
0.99322	 10	118	0	0
0.99328	 10	119	0	0
0.99350	 10	120	0	0
0.99356	  9	120	0	0
0.99380	  9	121	0	0
0.99390	  9	122	0	0
0.99484	  8	122	0	0
0.99545	  7	122	0	0
0.99580	  7	123	0	0
0.99581	  7	124	0	0
0.99590	  6	124	0	0
0.99624	  5	124	0	0
0.99640	  5	125	0	0
0.99649	  5	126	0	0
0.99665	  5	127	0	0
0.99733	  4	128	0	0
0.99761	  4	127	0	0
0.99774	  4	128	0	0
0.99780	  4	129	0	0
0.99808	  4	130	0	0
0.99812	  4	131	0	0
0.99820	  4	121	0	0
0.99840	  3	121	0	0
0.99860	  3	122	0	0
0.99940	  3	123	0	0
0.99970	  3	116	0	0
1.00000	  3	100	0	0
1.07424	  3	 99	0	0
1.10790	  3	 98	0	0
1.11989	  3	 97	0	0
1.15846	  3	 96	0	0
1.16002	  3	 95	0	0
1.16965	  3	 94	0	0
1.18624	  3	 93	0	0
1.18909	  3	 91	0	0
1.22893	  3	 90	0	0
1.29557	  3	 88	0	0
1.41985	  3	 87	0	0
1.46134	  3	 86	0	0
1.46278	  3	 85	0	0
1.46879	  3	 78	0	0
1.47370	  3	 76	0	0
1.49670	  3	 74	0	0
1.50380	  3	 69	0	0
1.51196	  3	 65	0	0
1.51391	  3	 64	0	0
1.53538	  3	 61	0	0
1.54079	  3	 61	1	0
1.54156	  3	 60	1	0
1.54546	  3	 59	0	0
1.54974	  3	 55	0	0
1.56066	  3	 54	0	0
1.56658	  3	 51	0	0
1.56856	  3	 49	0	0
1.56880	  3	 47	0	0
1.59029	  3	 46	0	0
1.59446	  3	 45	0	0
1.59511	  3	 44	0	0
1.59996	  3	 43	0	0
1.60050	  3	 42	0	0
1.63435	  3	 39	1	0
1.63760	  3	 38	4	0
1.64963	  3	 38	8	0
1.66008	  3	 37	4	0
1.66963	  3	 36	4	0
1.67352	  3	 36	6	0
1.67675	  3	 36	0	0
1.69204	  3	 35	0	0
1.69313	  3	 34	0	0
1.69323	  3	 33	0	0
1.69420	  3	 31	0	0
1.69675	  3	 30	0	0
1.69837	  3	 27	0	0
1.70074	  3	 21	0	0
1.70336	  3	 19	0	0
1.70346	  3	 18	0	0
1.71815	  3	 17	0	0
1.73567	  3	 17	1	0
1.73967	  3	 17	0	0
1.76146	  3	  8	0	0
1.84440	  3	  7	0	0
1.86571	  3	  6	0	0
1.89088	  3	  5	0	0
1.92738	  3	  4	0	0
1.95998	  3	  3	0	0
1.96306	  3	  3	1	0
1.96711	  3	  3	2	0
1.96940	  3	  3	1	0
1.97048	  3	  1	1	0
1.97218	  3	  0	1	0
1.97953	  3	  0	0	0
    Inf	  3	  0	0	0

kyber_top100Rev2_distMD4.txt
Time	B0	B1	B2	B3
0.00000	134	  0	0	0
0.15630	133	  0	0	0
0.18634	132	  0	0	0
0.19672	131	  0	0	0
0.20586	130	  0	0	0
0.20602	129	  0	0	0
0.21046	128	  0	0	0
0.23080	127	  0	0	0
0.26120	126	  0	0	0
0.29500	125	  0	0	0
0.29540	124	  0	0	0
0.35710	123	  0	0	0
0.41660	122	  0	0	0
0.46760	121	  0	0	0
0.52630	120	  0	0	0
0.54193	119	  0	0	0
0.56490	118	  0	0	0
0.56597	117	  0	0	0
0.57365	116	  0	0	0
0.57375	115	  0	0	0
0.57792	114	  0	0	0
0.60790	113	  0	0	0
0.62772	112	  0	0	0
0.64431	111	  0	0	0
0.64716	110	  0	0	0
0.64880	109	  0	0	0
0.64940	108	  0	0	0
0.65700	107	  0	0	0
0.66785	106	  0	0	0
0.68250	105	  0	0	0
0.68700	104	  0	0	0
0.69690	103	  0	0	0
0.72044	102	  0	0	0
0.72264	101	  0	0	0
0.75763	100	  0	0	0
0.77630	 99	  0	0	0
0.77680	 98	  0	0	0
0.79175	 97	  0	0	0
0.79530	 96	  0	0	0
0.79847	 95	  0	0	0
0.80380	 94	  0	0	0
0.80760	 93	  0	0	0
0.80963	 92	  0	0	0
0.81195	 91	  0	0	0
0.81371	 90	  0	0	0
0.82240	 89	  0	0	0
0.82640	 88	  0	0	0
0.82644	 88	  1	0	0
0.82840	 88	  2	0	0
0.83573	 88	  3	0	0
0.83768	 87	  3	0	0
0.84543	 86	  3	0	0
0.84750	 85	  3	0	0
0.84953	 84	  3	0	0
0.85140	 83	  3	0	0
0.85488	 82	  3	0	0
0.85640	 81	  3	0	0
0.85664	 80	  3	0	0
0.85875	 80	  4	0	0
0.86157	 79	  4	0	0
0.86642	 78	  4	0	0
0.86675	 77	  4	0	0
0.86780	 76	  4	0	0
0.86838	 76	  5	0	0
0.87083	 75	  6	0	0
0.87420	 74	  6	0	0
0.87558	 73	  6	0	0
0.88106	 72	  6	0	0
0.88250	 72	  7	0	0
0.88663	 71	  7	0	0
0.88822	 70	  7	0	0
0.89030	 69	  7	0	0
0.89337	 68	  7	0	0
0.89440	 68	  8	0	0
0.89504	 67	  8	0	0
0.89608	 66	  8	0	0
0.89830	 66	  9	0	0
0.89973	 66	 10	0	0
0.90096	 65	 10	0	0
0.90202	 65	  9	0	0
0.90260	 64	 10	0	0
0.90891	 63	 10	0	0
0.90957	 63	 11	0	0
0.90970	 62	 11	0	0
0.91269	 62	 12	0	0
0.91287	 62	 13	0	0
0.91290	 61	 13	0	0
0.91327	 61	 14	0	0
0.91350	 61	 15	0	0
0.91476	 60	 16	0	0
0.91540	 59	 16	0	0
0.91563	 59	 17	0	0
0.91750	 59	 20	0	0
0.91942	 58	 20	0	0
0.92140	 57	 20	0	0
0.92157	 57	 21	0	0
0.92170	 56	 21	0	0
0.92200	 56	 22	0	0
0.92212	 56	 23	0	0
0.92244	 56	 24	0	0
0.92254	 56	 25	0	0
0.92280	 56	 26	0	0
0.92285	 56	 27	0	0
0.92309	 56	 28	0	0
0.92380	 56	 22	0	0
0.92419	 55	 22	0	0
0.92433	 55	 23	0	0
0.92495	 54	 23	0	0
0.92519	 54	 24	0	0
0.92532	 54	 25	0	0
0.92541	 54	 26	0	0
0.92600	 54	 27	0	0
0.92612	 54	 28	0	0
0.92654	 54	 29	0	0
0.92656	 54	 30	0	0
0.92687	 53	 30	0	0
0.92703	 53	 31	0	0
0.92980	 52	 31	0	0
0.93010	 52	 32	0	0
0.93110	 52	 33	0	0
0.93144	 52	 34	0	0
0.93175	 51	 34	0	0
0.93189	 50	 34	0	0
0.93238	 50	 35	0	0
0.93290	 50	 36	0	0
0.93292	 50	 37	0	0
0.93313	 49	 37	0	0
0.93414	 49	 38	0	0
0.93416	 48	 38	0	0
0.93522	 48	 39	0	0
0.93563	 48	 41	0	0
0.93565	 48	 42	0	0
0.93592	 48	 43	0	0
0.93780	 47	 43	0	0
0.93788	 46	 43	0	0
0.93840	 45	 43	0	0
0.93925	 45	 44	0	0
0.93980	 45	 45	0	0
0.94015	 44	 45	0	0
0.94067	 44	 46	0	0
0.94070	 44	 47	0	0
0.94116	 44	 48	0	0
0.94140	 44	 49	0	0
0.94313	 44	 50	0	0
0.94325	 44	 51	0	0
0.94331	 44	 52	0	0
0.94384	 44	 53	0	0
0.94460	 44	 54	0	0
0.94490	 44	 55	0	0
0.94520	 44	 56	0	0
0.94640	 43	 56	0	0
0.94663	 42	 56	0	0
0.94699	 41	 56	0	0
0.94700	 40	 56	0	0
0.94730	 40	 57	0	0
0.94795	 40	 59	0	0
0.94827	 39	 59	0	0
0.94880	 39	 61	0	0
0.95034	 38	 61	0	0
0.95047	 38	 62	0	0
0.95107	 38	 63	0	0
0.95110	 38	 64	0	0
0.95260	 38	 65	0	0
0.95280	 38	 66	0	0
0.95281	 38	 67	0	0
0.95333	 38	 68	0	0
0.95640	 38	 69	0	0
0.95670	 38	 70	0	0
0.95807	 37	 70	0	0
0.95870	 36	 70	0	0
0.95885	 36	 71	0	0
0.96030	 36	 72	0	0
0.96101	 36	 73	0	0
0.96106	 36	 74	0	0
0.96110	 36	 73	0	0
0.96126	 35	 73	0	0
0.96141	 34	 73	0	0
0.96250	 34	 74	0	0
0.96275	 33	 74	0	0
0.96280	 33	 75	0	0
0.96336	 33	 76	0	0
0.96385	 33	 77	0	0
0.96399	 33	 78	0	0
0.96426	 33	 79	0	0
0.96530	 32	 79	0	0
0.96574	 32	 80	0	0
0.96607	 31	 80	0	0
0.96685	 31	 81	0	0
0.96876	 31	 82	0	0
0.96886	 31	 81	0	0
0.96940	 30	 81	0	0
0.97035	 30	 80	0	0
0.97049	 29	 80	0	0
0.97173	 29	 81	0	0
0.97196	 29	 82	0	0
0.97206	 28	 82	0	0
0.97231	 28	 83	0	0
0.97275	 27	 83	0	0
0.97290	 27	 84	0	0
0.97299	 27	 85	0	0
0.97301	 26	 85	0	0
0.97373	 26	 86	0	0
0.97411	 25	 86	0	0
0.97439	 25	 87	0	0
0.97490	 25	 88	0	0
0.97564	 24	 88	0	0
0.97679	 23	 88	0	0
0.97688	 22	 88	0	0
0.97711	 22	 89	0	0
0.97715	 21	 89	0	0
0.97774	 21	 90	0	0
0.97809	 21	 91	0	0
0.97810	 21	 92	0	0
0.97825	 21	 93	0	0
0.97934	 21	 94	0	0
0.97935	 20	 94	0	0
0.98004	 20	 95	0	0
0.98080	 20	 96	0	0
0.98100	 20	 97	0	0
0.98110	 20	 98	0	0
0.98150	 19	 98	0	0
0.98165	 19	 99	0	0
0.98214	 18	 99	0	0
0.98230	 18	100	0	0
0.98315	 18	101	0	0
0.98320	 18	102	0	0
0.98321	 18	103	0	0
0.98418	 18	104	0	0
0.98420	 18	105	0	0
0.98458	 17	105	0	0
0.98502	 17	106	0	0
0.98511	 17	107	0	0
0.98540	 16	107	0	0
0.98555	 16	108	0	0
0.98653	 16	109	0	0
0.98683	 15	109	0	0
0.98691	 15	110	0	0
0.98710	 14	110	0	0
0.98723	 13	110	0	0
0.98732	 13	111	0	0
0.98835	 13	112	0	0
0.99000	 12	112	0	0
0.99030	 12	113	0	0
0.99046	 12	114	0	0
0.99075	 11	114	0	0
0.99076	 11	115	0	0
0.99200	 11	116	0	0
0.99268	 10	116	0	0
0.99300	 10	117	0	0
0.99322	 10	118	0	0
0.99328	 10	119	0	0
0.99350	 10	120	0	0
0.99356	  9	120	0	0
0.99380	  9	121	0	0
0.99390	  9	122	0	0
0.99484	  8	122	0	0
0.99545	  7	122	0	0
0.99580	  7	123	0	0
0.99581	  7	124	0	0
0.99590	  6	124	0	0
0.99624	  5	124	0	0
0.99640	  5	125	0	0
0.99649	  5	126	0	0
0.99665	  5	127	0	0
0.99733	  4	128	0	0
0.99761	  4	127	0	0
0.99774	  4	128	0	0
0.99780	  4	129	0	0
0.99808	  4	130	0	0
0.99812	  4	131	0	0
0.99820	  4	121	0	0
0.99840	  3	121	0	0
0.99860	  3	122	0	0
0.99940	  3	123	0	0
0.99970	  3	116	0	0
1.00000	  3	100	0	0
1.07424	  3	 99	0	0
1.10790	  3	 98	0	0
1.11989	  3	 97	0	0
1.15846	  3	 96	0	0
1.16002	  3	 95	0	0
1.16965	  3	 94	0	0
1.18624	  3	 93	0	0
1.18909	  3	 91	0	0
1.22893	  3	 90	0	0
1.29557	  3	 88	0	0
1.41985	  3	 87	0	0
1.46134	  3	 86	0	0
1.46278	  3	 85	0	0
1.46879	  3	 78	0	0
1.47370	  3	 76	0	0
1.49670	  3	 74	0	0
1.50380	  3	 69	0	0
1.51196	  3	 65	0	0
1.51391	  3	 64	0	0
1.53538	  3	 61	0	0
1.54079	  3	 61	1	0
1.54156	  3	 60	1	0
1.54546	  3	 59	0	0
1.54974	  3	 55	0	0
1.56066	  3	 54	0	0
1.56658	  3	 51	0	0
1.56856	  3	 49	0	0
1.56880	  3	 47	0	0
1.59029	  3	 46	0	0
1.59446	  3	 45	0	0
1.59511	  3	 44	0	0
1.59996	  3	 43	0	0
1.60050	  3	 42	0	0
1.63435	  3	 39	1	0
1.63760	  3	 38	4	0
1.64963	  3	 38	8	0
1.66008	  3	 37	4	0
1.66963	  3	 36	4	0
1.67352	  3	 36	6	0
1.67675	  3	 36	0	0
1.69204	  3	 35	0	0
1.69313	  3	 34	0	0
1.69323	  3	 33	0	0
1.69420	  3	 31	0	0
1.69675	  3	 30	0	0
1.69837	  3	 27	0	0
1.70074	  3	 21	0	0
1.70336	  3	 19	0	0
1.70346	  3	 18	0	0
1.71815	  3	 17	0	0
1.73567	  3	 17	1	0
1.73967	  3	 17	0	0
1.76146	  3	  8	0	0
1.84440	  3	  7	0	0
1.86571	  3	  6	0	0
1.89088	  3	  5	0	0
1.92738	  3	  4	0	0
1.95998	  3	  3	0	0
1.96306	  3	  3	1	0
1.96711	  3	  3	2	0
1.96940	  3	  3	1	0
1.97048	  3	  1	1	0
1.97218	  3	  0	1	0
1.97953	  3	  0	0	0
    Inf	  3	  0	0	0

kyber_top100Rev2_distMD5.txt
Time	B0	B1	B2	B3
0.00000	134	  0	0	0
0.15630	133	  0	0	0
0.18634	132	  0	0	0
0.19672	131	  0	0	0
0.20586	130	  0	0	0
0.20602	129	  0	0	0
0.21046	128	  0	0	0
0.23080	127	  0	0	0
0.26120	126	  0	0	0
0.29500	125	  0	0	0
0.29540	124	  0	0	0
0.35710	123	  0	0	0
0.41660	122	  0	0	0
0.46760	121	  0	0	0
0.52630	120	  0	0	0
0.54193	119	  0	0	0
0.56490	118	  0	0	0
0.56597	117	  0	0	0
0.57365	116	  0	0	0
0.57375	115	  0	0	0
0.57792	114	  0	0	0
0.60790	113	  0	0	0
0.62772	112	  0	0	0
0.64431	111	  0	0	0
0.64716	110	  0	0	0
0.64880	109	  0	0	0
0.64940	108	  0	0	0
0.65700	107	  0	0	0
0.66785	106	  0	0	0
0.68250	105	  0	0	0
0.68700	104	  0	0	0
0.69690	103	  0	0	0
0.72044	102	  0	0	0
0.72264	101	  0	0	0
0.75763	100	  0	0	0
0.77630	 99	  0	0	0
0.77680	 98	  0	0	0
0.79175	 97	  0	0	0
0.79530	 96	  0	0	0
0.79847	 95	  0	0	0
0.80380	 94	  0	0	0
0.80760	 93	  0	0	0
0.80963	 92	  0	0	0
0.81195	 91	  0	0	0
0.81371	 90	  0	0	0
0.82240	 89	  0	0	0
0.82640	 88	  0	0	0
0.82644	 88	  1	0	0
0.82840	 88	  2	0	0
0.83573	 88	  3	0	0
0.83768	 87	  3	0	0
0.84543	 86	  3	0	0
0.84750	 85	  3	0	0
0.84953	 84	  3	0	0
0.85140	 83	  3	0	0
0.85488	 82	  3	0	0
0.85640	 81	  3	0	0
0.85664	 80	  3	0	0
0.85875	 80	  4	0	0
0.86157	 79	  4	0	0
0.86642	 78	  4	0	0
0.86675	 77	  4	0	0
0.86780	 76	  4	0	0
0.86838	 76	  5	0	0
0.87083	 75	  6	0	0
0.87420	 74	  6	0	0
0.87558	 73	  6	0	0
0.88106	 72	  6	0	0
0.88250	 72	  7	0	0
0.88663	 71	  7	0	0
0.88822	 70	  7	0	0
0.89030	 69	  7	0	0
0.89337	 68	  7	0	0
0.89440	 68	  8	0	0
0.89504	 67	  8	0	0
0.89608	 66	  8	0	0
0.89830	 66	  9	0	0
0.89973	 66	 10	0	0
0.90096	 65	 10	0	0
0.90202	 65	  9	0	0
0.90260	 64	 10	0	0
0.90891	 63	 10	0	0
0.90957	 63	 11	0	0
0.90970	 62	 11	0	0
0.91269	 62	 12	0	0
0.91287	 62	 13	0	0
0.91290	 61	 13	0	0
0.91327	 61	 14	0	0
0.91350	 61	 15	0	0
0.91476	 60	 16	0	0
0.91540	 59	 16	0	0
0.91563	 59	 17	0	0
0.91750	 59	 20	0	0
0.91942	 58	 20	0	0
0.92140	 57	 20	0	0
0.92157	 57	 21	0	0
0.92170	 56	 21	0	0
0.92200	 56	 22	0	0
0.92212	 56	 23	0	0
0.92244	 56	 24	0	0
0.92254	 56	 25	0	0
0.92280	 56	 26	0	0
0.92285	 56	 27	0	0
0.92309	 56	 28	0	0
0.92380	 56	 22	0	0
0.92419	 55	 22	0	0
0.92433	 55	 23	0	0
0.92495	 54	 23	0	0
0.92519	 54	 24	0	0
0.92532	 54	 25	0	0
0.92541	 54	 26	0	0
0.92600	 54	 27	0	0
0.92612	 54	 28	0	0
0.92654	 54	 29	0	0
0.92656	 54	 30	0	0
0.92687	 53	 30	0	0
0.92703	 53	 31	0	0
0.92980	 52	 31	0	0
0.93010	 52	 32	0	0
0.93110	 52	 33	0	0
0.93144	 52	 34	0	0
0.93175	 51	 34	0	0
0.93189	 50	 34	0	0
0.93238	 50	 35	0	0
0.93290	 50	 36	0	0
0.93292	 50	 37	0	0
0.93313	 49	 37	0	0
0.93414	 49	 38	0	0
0.93416	 48	 38	0	0
0.93522	 48	 39	0	0
0.93563	 48	 41	0	0
0.93565	 48	 42	0	0
0.93592	 48	 43	0	0
0.93780	 47	 43	0	0
0.93788	 46	 43	0	0
0.93840	 45	 43	0	0
0.93925	 45	 44	0	0
0.93980	 45	 45	0	0
0.94015	 44	 45	0	0
0.94067	 44	 46	0	0
0.94070	 44	 47	0	0
0.94116	 44	 48	0	0
0.94140	 44	 49	0	0
0.94313	 44	 50	0	0
0.94325	 44	 51	0	0
0.94331	 44	 52	0	0
0.94384	 44	 53	0	0
0.94460	 44	 54	0	0
0.94490	 44	 55	0	0
0.94520	 44	 56	0	0
0.94640	 43	 56	0	0
0.94663	 42	 56	0	0
0.94699	 41	 56	0	0
0.94700	 40	 56	0	0
0.94730	 40	 57	0	0
0.94795	 40	 59	0	0
0.94827	 39	 59	0	0
0.94880	 39	 61	0	0
0.95034	 38	 61	0	0
0.95047	 38	 62	0	0
0.95107	 38	 63	0	0
0.95110	 38	 64	0	0
0.95260	 38	 65	0	0
0.95280	 38	 66	0	0
0.95281	 38	 67	0	0
0.95333	 38	 68	0	0
0.95640	 38	 69	0	0
0.95670	 38	 70	0	0
0.95807	 37	 70	0	0
0.95870	 36	 70	0	0
0.95885	 36	 71	0	0
0.96030	 36	 72	0	0
0.96101	 36	 73	0	0
0.96106	 36	 74	0	0
0.96110	 36	 73	0	0
0.96126	 35	 73	0	0
0.96141	 34	 73	0	0
0.96250	 34	 74	0	0
0.96275	 33	 74	0	0
0.96280	 33	 75	0	0
0.96336	 33	 76	0	0
0.96385	 33	 77	0	0
0.96399	 33	 78	0	0
0.96426	 33	 79	0	0
0.96530	 32	 79	0	0
0.96574	 32	 80	0	0
0.96607	 31	 80	0	0
0.96685	 31	 81	0	0
0.96876	 31	 82	0	0
0.96886	 31	 81	0	0
0.96940	 30	 81	0	0
0.97035	 30	 80	0	0
0.97049	 29	 80	0	0
0.97173	 29	 81	0	0
0.97196	 29	 82	0	0
0.97206	 28	 82	0	0
0.97231	 28	 83	0	0
0.97275	 27	 83	0	0
0.97290	 27	 84	0	0
0.97299	 27	 85	0	0
0.97301	 26	 85	0	0
0.97373	 26	 86	0	0
0.97411	 25	 86	0	0
0.97439	 25	 87	0	0
0.97490	 25	 88	0	0
0.97564	 24	 88	0	0
0.97679	 23	 88	0	0
0.97688	 22	 88	0	0
0.97711	 22	 89	0	0
0.97715	 21	 89	0	0
0.97774	 21	 90	0	0
0.97809	 21	 91	0	0
0.97810	 21	 92	0	0
0.97825	 21	 93	0	0
0.97934	 21	 94	0	0
0.97935	 20	 94	0	0
0.98004	 20	 95	0	0
0.98080	 20	 96	0	0
0.98100	 20	 97	0	0
0.98110	 20	 98	0	0
0.98150	 19	 98	0	0
0.98165	 19	 99	0	0
0.98214	 18	 99	0	0
0.98230	 18	100	0	0
0.98315	 18	101	0	0
0.98320	 18	102	0	0
0.98321	 18	103	0	0
0.98418	 18	104	0	0
0.98420	 18	105	0	0
0.98458	 17	105	0	0
0.98502	 17	106	0	0
0.98511	 17	107	0	0
0.98540	 16	107	0	0
0.98555	 16	108	0	0
0.98653	 16	109	0	0
0.98683	 15	109	0	0
0.98691	 15	110	0	0
0.98710	 14	110	0	0
0.98723	 13	110	0	0
0.98732	 13	111	0	0
0.98835	 13	112	0	0
0.99000	 12	112	0	0
0.99030	 12	113	0	0
0.99046	 12	114	0	0
0.99075	 11	114	0	0
0.99076	 11	115	0	0
0.99200	 11	116	0	0
0.99268	 10	116	0	0
0.99300	 10	117	0	0
0.99322	 10	118	0	0
0.99328	 10	119	0	0
0.99350	 10	120	0	0
0.99356	  9	120	0	0
0.99380	  9	121	0	0
0.99390	  9	122	0	0
0.99484	  8	122	0	0
0.99545	  7	122	0	0
0.99580	  7	123	0	0
0.99581	  7	124	0	0
0.99590	  6	124	0	0
0.99624	  5	124	0	0
0.99640	  5	125	0	0
0.99649	  5	126	0	0
0.99665	  5	127	0	0
0.99733	  4	128	0	0
0.99761	  4	127	0	0
0.99774	  4	128	0	0
0.99780	  4	129	0	0
0.99808	  4	130	0	0
0.99812	  4	131	0	0
0.99820	  4	121	0	0
0.99840	  3	121	0	0
0.99860	  3	122	0	0
0.99940	  3	123	0	0
0.99970	  3	116	0	0
1.00000	  3	100	0	0
1.07424	  3	 99	0	0
1.10790	  3	 98	0	0
1.11989	  3	 97	0	0
1.15846	  3	 96	0	0
1.16002	  3	 95	0	0
1.16965	  3	 94	0	0
1.18624	  3	 93	0	0
1.18909	  3	 91	0	0
1.22893	  3	 90	0	0
1.29557	  3	 88	0	0
1.41985	  3	 87	0	0
1.46134	  3	 86	0	0
1.46278	  3	 85	0	0
1.46879	  3	 78	0	0
1.47370	  3	 76	0	0
1.49670	  3	 74	0	0
1.50380	  3	 69	0	0
1.51196	  3	 65	0	0
1.51391	  3	 64	0	0
1.53538	  3	 61	0	0
1.54079	  3	 61	1	0
1.54156	  3	 60	1	0
1.54546	  3	 59	0	0
1.54974	  3	 55	0	0
1.56066	  3	 54	0	0
1.56658	  3	 51	0	0
1.56856	  3	 49	0	0
1.56880	  3	 47	0	0
1.59029	  3	 46	0	0
1.59446	  3	 45	0	0
1.59511	  3	 44	0	0
1.59996	  3	 43	0	0
1.60050	  3	 42	0	0
1.63435	  3	 39	1	0
1.63760	  3	 38	4	0
1.64963	  3	 38	8	0
1.66008	  3	 37	4	0
1.66963	  3	 36	4	0
1.67352	  3	 36	6	0
1.67675	  3	 36	0	0
1.69204	  3	 35	0	0
1.69313	  3	 34	0	0
1.69323	  3	 33	0	0
1.69420	  3	 31	0	0
1.69675	  3	 30	0	0
1.69837	  3	 27	0	0
1.70074	  3	 21	0	0
1.70336	  3	 19	0	0
1.70346	  3	 18	0	0
1.71815	  3	 17	0	0
1.73567	  3	 17	1	0
1.73967	  3	 17	0	0
1.76146	  3	  8	0	0
1.84440	  3	  7	0	0
1.86571	  3	  6	0	0
1.89088	  3	  5	0	0
1.92738	  3	  4	0	0
1.95998	  3	  3	0	0
1.96306	  3	  3	1	0
1.96711	  3	  3	2	0
1.96940	  3	  3	1	0
1.97048	  3	  1	1	0
1.97218	  3	  0	1	0
1.97953	  3	  0	0	0
    Inf	  3	  0	0	0

